Time,Data
0.0,0.010236536477620507
0.001,0.034045268586832746
0.002,0.06327827113546658
0.003,0.08009091881150388
0.004,0.07142776086421421
0.005,0.04135576698508353
0.006,0.0010464668816328414
0.007,-0.0395868992782464
0.008,-0.08453228486471205
0.009,-0.12649028577849375
0.01,-0.15771627454139933
0.011,-0.1797534181584819
0.012,-0.1909389612423013
0.013,-0.1856078763527361
0.014,-0.16197130886770025
0.015,-0.11970243906906672
0.016,-0.08030973932576663
0.017,-0.04840919344947114
0.018,-0.022018092854551242
0.019,-0.006982635445846438
0.02,-0.008622697830758386
0.021,-0.01863593272376677
0.022,-0.02825772146904634
0.023,-0.04763174638087093
0.024,-0.07031506848968677
0.025,-0.09282618750935143
0.026,-0.11414607701331439
0.027,-0.12509890149647368
0.028,-0.13156667758455584
0.029,-0.13552457289586392
0.03,-0.13191452170815318
0.031,-0.1153989337798355
0.032,-0.09804988692127871
0.033,-0.07803111061025511
0.034,-0.058321468724164424
0.035,-0.037512645229020744
0.036,-0.02469454602234191
0.037,-0.025423897139298074
0.038,-0.0267581868268237
0.039,-0.028330528059394563
0.04,-0.036441485482732634
0.041,-0.05115002168154703
0.042,-0.0633548858328202
0.043,-0.07586693415050849
0.044,-0.084479286892606
0.045,-0.09304411776615173
0.046,-0.10556184203646886
0.047,-0.10828155339493856
0.048,-0.10280292355075267
0.049,-0.09316215235374777
0.05,-0.08188052749491082
0.051,-0.07095549316452976
0.052,-0.0607813086252919
0.053,-0.05099839307092467
0.054,-0.04328498420725628
0.055,-0.029118639574655415
0.056,-0.016545103509488717
0.057,-0.023995488337023335
0.058,-0.03518817325726418
0.059,-0.04013954748774982
0.06,-0.04728963252544204
0.061,-0.061727978292663105
0.062,-0.07748602396602096
0.063,-0.0888482429323115
0.064,-0.08762884754755847
0.065,-0.07836505766760493
0.066,-0.07239148630390191
0.067,-0.05878075667610283
0.068,-0.04015928686017765
0.069,-0.024429787980332733
0.07,-0.010449099508872132
0.071,-0.0027182207580779506
0.072,0.0008608452707216202
0.073,0.002119168560144317
0.074,-0.002376241082885008
0.075,-0.010448798792457092
0.076,-0.019542450919691146
0.077,-0.032011546959083266
0.078,-0.03741647166369403
0.079,-0.034771231691001415
0.08,-0.03569941107678378
0.081,-0.03847302569103667
0.082,-0.029931221813489856
0.083,-0.018298133127265602
0.084,-0.012937298619422291
0.085,-0.011090544749185983
0.086,-0.009650389576725957
0.087,-0.013006921602553121
0.088,-0.02199460420885016
0.089,-0.033944776933513186
0.09,-0.03782967083831336
0.091,-0.04846732992117684
0.092,-0.05874689901812551
0.093,-0.0598318842769336
0.094,-0.06230516780624341
0.095,-0.06223217076067515
0.096,-0.06413485906472213
0.097,-0.06588596671310115
0.098,-0.06054669147734244
0.099,-0.049179760399461835
0.1,-0.04967191182463663
0.101,-0.054595592765056884
0.102,-0.053130358224963745
0.103,-0.057052293190532295
0.104,-0.0647873302077146
0.105,-0.07751398573539976
0.106,-0.08929450360526235
0.107,-0.0972114348907797
0.108,-0.10748904238564262
0.109,-0.11658448288136083
0.11,-0.11624086569131428
0.111,-0.1175012969357002
0.112,-0.11668849917615984
0.113,-0.11235775847889297
0.114,-0.11023173519035216
0.115,-0.10112466687657148
0.116,-0.0898616822152418
0.117,-0.09019739066857783
0.118,-0.08973740132807508
0.119,-0.08886722326055303
0.12,-0.0966947667114831
0.121,-0.10601453971212732
0.122,-0.1133024952487525
0.123,-0.12174929699000654
0.124,-0.13033594995928938
0.125,-0.13494940939755642
0.126,-0.13652785863980485
0.127,-0.1342174337668185
0.128,-0.13351622115373316
0.129,-0.12837921091693397
0.13,-0.11126080683495164
0.131,-0.09507972748378749
0.132,-0.08510373939099382
0.133,-0.0777665581447264
0.134,-0.07644355736566272
0.135,-0.07622352603674551
0.136,-0.06971794671548144
0.137,-0.07094555843777467
0.138,-0.0783183010642768
0.139,-0.08173680541322098
0.14,-0.09278258822520578
0.141,-0.10897416299028835
0.142,-0.11703963886236766
0.143,-0.12515251416289302
0.144,-0.12908214364139686
0.145,-0.12322551058211981
0.146,-0.12050997737587262
0.147,-0.117183272577299
0.148,-0.11653168785279902
0.149,-0.11958491572173775
0.15,-0.12087194816381112
0.151,-0.12828492966611363
0.152,-0.13808752148139858
0.153,-0.14407468616178123
0.154,-0.14185758341714225
0.155,-0.13821739290490898
0.156,-0.14145203992703723
0.157,-0.14263502900738187
0.158,-0.14171807275755105
0.159,-0.1414376094994588
0.16,-0.1370248176301297
0.161,-0.12776182194867888
0.162,-0.12446457902303355
0.163,-0.12799698694895958
0.164,-0.13392487463618624
0.165,-0.1414001495147545
0.166,-0.14632645199348082
0.167,-0.14580450489966235
0.168,-0.1357976906243943
0.169,-0.10890763433597536
0.17,-0.0611165760743194
0.171,0.001653839421331236
0.172,0.08829555064655213
0.173,0.19465765332353627
0.174,0.29709044567638615
0.175,0.3983234441542317
0.176,0.4965413853428856
0.177,0.5754736242975126
0.178,0.6332954348359178
0.179,0.681159884054827
0.18,0.7242347487350123
0.181,0.7642020022144039
0.182,0.8052736736117818
0.183,0.8508700174236389
0.184,0.916176431347942
0.185,1.0068301006514646
0.186,1.1189776522895172
0.187,1.2588907860512337
0.188,1.4112358401525806
0.189,1.5429806452251877
0.19,1.6608075561906677
0.191,1.7648060802114462
0.192,1.8331601686502665
0.193,1.8485359466149982
0.194,1.819918739048404
0.195,1.7627375489861004
0.196,1.6682358561573063
0.197,1.53017880646301
0.198,1.3761051979742882
0.199,1.2434165869808427
0.2,1.1506295903589605
0.201,1.0910941022480718
0.202,1.0384029561537487
0.203,0.9866006183642316
0.204,0.9461603989664967
0.205,0.9095658774841726
0.206,0.8592266606803085
0.207,0.7904001906629766
